product_id,review_cnt,avg_score,low_score_rate,recommend_index
PRODUCT_50246,64,4.682539682539683,0.015873015873015872,3.5808876095401194
PRODUCT_131602,45,4.75,0.0,3.5235924189467287
PRODUCT_108865,62,4.598214285714286,0.03571428571428571,3.513476132203174
PRODUCT_490031,46,4.636363636363637,0.0,3.473226098694836
PRODUCT_143207,26,4.923076923076923,0.0,3.4502895213397604
PRODUCT_399559,29,4.827586206896552,0.0,3.434152317946922
PRODUCT_10266,61,4.470512820512821,0.057692307692307696,3.4272428796160916
PRODUCT_112731,20,5.0,0.0,3.4133567313170268
PRODUCT_400404,27,4.814814814814815,0.0,3.4070687604599685
PRODUCT_237872,24,4.857142857142857,0.0,3.3942341760318886
PRODUCT_115122,21,4.901960784313725,0.0,3.378293128164357
PRODUCT_36848,62,4.366071428571429,0.0625,3.3759761322031743
PRODUCT_341531,25,4.76,0.0,3.3574289614064448
PRODUCT_178168,15,5.0,0.0,3.3317766166719345
PRODUCT_457344,38,4.445945945945946,0.0,3.322041466811867
PRODUCT_477639,22,4.761904761904762,0.0,3.3216006457311256
PRODUCT_341044,19,4.842105263157895,0.0,3.3197723136451445
PRODUCT_221220,14,5.0,0.0,3.312415060330663
PRODUCT_218644,29,4.611111111111111,0.018518518518518517,3.311099955239387
PRODUCT_155794,25,4.72,0.04,3.3054289614064443
PRODUCT_467718,27,4.64,0.02,3.303661353052561
PRODUCT_348686,17,4.866666666666666,0.0,3.3004448607021826
PRODUCT_318871,18,4.833333333333333,0.0,3.2999983604165983
PRODUCT_39863,21,4.7368421052631575,0.0,3.2957337886390734
PRODUCT_422735,13,5.0,0.0,3.2917171988845775
PRODUCT_400042,22,4.681818181818182,0.0,3.281557355687836
PRODUCT_276420,14,4.928571428571429,0.0,3.276700774616377
PRODUCT_513971,20,4.722222222222222,0.0,3.274467842428138
PRODUCT_37233,14,4.923076923076923,0.0,3.2739535218691245
PRODUCT_501779,20,4.705882352941177,0.0,3.266297907787615
PRODUCT_243075,23,4.625,0.0,3.2659161491043838
PRODUCT_453801,20,4.7,0.0,3.263356731317027
PRODUCT_523583,20,4.7,0.0,3.263356731317027
PRODUCT_342021,23,4.619047619047619,0.0,3.262939958628193
PRODUCT_32431,33,4.454545454545454,0.030303030303030304,3.260938460415151
PRODUCT_160241,40,4.333333333333333,0.02564102564102564,3.2602254661651386
PRODUCT_117610,24,4.583333333333333,0.0,3.2573294141271267
PRODUCT_346954,13,4.923076923076923,0.0,3.253255660423039
PRODUCT_62341,45,4.27906976744186,0.046511627906976744,3.250918000342077
PRODUCT_408576,14,4.875,0.0,3.249915060330663
PRODUCT_372761,11,5.0,0.0,3.2454719949364
PRODUCT_395546,11,5.0,0.0,3.2454719949364
PRODUCT_25199,11,5.0,0.0,3.2454719949364
PRODUCT_407428,77,4.073333333333333,0.12666666666666668,3.2423459813402107
PRODUCT_246284,19,4.684210526315789,0.0,3.240824945224092
PRODUCT_441014,27,4.54,0.04,3.237661353052561
PRODUCT_410787,21,4.619047619047619,0.0,3.236836545531304
PRODUCT_335762,21,4.619047619047619,0.0,3.236836545531304
PRODUCT_18232,23,4.565217391304348,0.0,3.2360248447565576
PRODUCT_440984,67,4.072222222222222,0.08333333333333333,3.235296755997276
PRODUCT_333173,18,4.7,0.0,3.233331693749932
PRODUCT_60142,15,4.8,0.0,3.2317766166719344
PRODUCT_206593,15,4.8,0.0,3.2317766166719344
PRODUCT_316161,15,4.8,0.0,3.2317766166719344
PRODUCT_319661,13,4.875,0.0,3.2292171988845775
PRODUCT_382248,14,4.833333333333333,0.0,3.2290817269973298
PRODUCT_241806,12,4.916666666666667,0.0,3.2278181405717943
PRODUCT_432666,12,4.916666666666667,0.0,3.2278181405717943
