user_id,review_cnt,avg_score,low_score_rate,active_days,user_tier
524614,1,2.0,1.0,1,high_risk
520598,1,2.0,1.0,1,high_risk
520457,1,2.0,1.0,1,high_risk
51997,1,2.0,1.0,1,high_risk
59139,1,2.0,1.0,1,high_risk
525225,1,2.0,1.0,1,high_risk
525144,1,2.0,1.0,1,high_risk
599316,1,2.0,1.0,1,high_risk
523911,1,2.0,1.0,1,high_risk
523876,1,2.0,1.0,1,high_risk
524298,1,2.0,1.0,1,high_risk
521477,1,2.0,1.0,1,high_risk
523533,1,2.0,1.0,1,high_risk
584985,1,2.0,1.0,1,high_risk
529038,1,2.0,1.0,1,high_risk
529811,1,2.0,1.0,1,high_risk
58423,1,2.0,1.0,1,high_risk
58405,1,2.0,1.0,1,high_risk
589279,1,2.0,1.0,1,high_risk
529400,1,2.0,1.0,1,high_risk
518574,1,2.0,1.0,1,high_risk
585596,1,2.0,1.0,1,high_risk
519611,1,2.0,1.0,1,high_risk
519767,1,2.0,1.0,1,high_risk
527286,1,2.0,1.0,1,high_risk
527827,1,2.0,1.0,1,high_risk
519506,1,2.0,1.0,1,high_risk
585466,1,2.0,1.0,1,high_risk
56858,1,2.0,1.0,1,high_risk
568410,1,2.0,1.0,1,high_risk
552898,1,2.0,1.0,1,high_risk
554098,1,2.0,1.0,1,high_risk
56883,1,2.0,1.0,1,high_risk
56880,1,2.0,1.0,1,high_risk
55443,1,2.0,1.0,1,high_risk
55551,1,2.0,1.0,1,high_risk
56790,1,2.0,1.0,1,high_risk
568046,1,2.0,1.0,1,high_risk
594187,1,2.0,1.0,1,high_risk
56805,1,2.0,1.0,1,high_risk
554710,1,2.0,1.0,1,high_risk
554437,1,2.0,1.0,1,high_risk
550025,1,2.0,1.0,1,high_risk
550185,1,2.0,1.0,1,high_risk
550328,1,2.0,1.0,1,high_risk
549686,1,2.0,1.0,1,high_risk
550730,1,2.0,1.0,1,high_risk
550767,1,2.0,1.0,1,high_risk
550771,1,2.0,1.0,1,high_risk
596441,1,2.0,1.0,1,high_risk
56903,1,2.0,1.0,1,high_risk
596469,1,2.0,1.0,1,high_risk
551238,1,2.0,1.0,1,high_risk
550861,1,2.0,1.0,1,high_risk
569481,1,2.0,1.0,1,high_risk
56959,1,2.0,1.0,1,high_risk
560992,1,2.0,1.0,1,high_risk
560857,1,2.0,1.0,1,high_risk
56063,1,2.0,1.0,1,high_risk
565070,1,2.0,1.0,1,high_risk
560563,1,2.0,1.0,1,high_risk
565765,1,2.0,1.0,1,high_risk
56545,1,2.0,1.0,1,high_risk
565796,1,2.0,1.0,1,high_risk
55999,1,2.0,1.0,1,high_risk
56300,1,2.0,1.0,1,high_risk
564017,1,2.0,1.0,1,high_risk
561700,1,2.0,1.0,1,high_risk
56264,1,2.0,1.0,1,high_risk
567014,1,2.0,1.0,1,high_risk
567579,1,2.0,1.0,1,high_risk
559145,1,2.0,1.0,1,high_risk
565907,1,2.0,1.0,1,high_risk
56589,1,2.0,1.0,1,high_risk
557976,1,2.0,1.0,1,high_risk
55865,1,2.0,1.0,1,high_risk
558812,1,2.0,1.0,1,high_risk
566363,1,2.0,1.0,1,high_risk
57646,1,2.0,1.0,1,high_risk
576247,1,2.0,1.0,1,high_risk
